sentences	sentence_id
"Vypracovanou zprávu představenstvo a dozorčí rada projednaly a představenstvo pověřilo generálního ředitele k dalšímu jednání s FNM ve věci převzetí zaměstnaneckých akcií dle schváleného privatizačního projektu."""	lnd94101-013-p1s12
Podle ředitele pražského úřadu vyšetřování R.Malečka se však zatím nepotvrdily signály, že by v Praze existovala organizace, která by se vraždami na objednávku zabývala.	lnd94101-017-p1s12
"""Kdyby se tak mělo stát, potom je otázka, zda slovenská strana nadále chce celní unii nebo zónu volného obchodu,"" poznamenal."	lnd94101-032-p1s3B
Krátce po čtvrté však v hotelu Dolomiti zazvonil telefon a vedoucí výpravy Jaroslav Pouzar a lakonicky oznámil, že auto vypovědělo službu.	lnd94101-089-p1s2A
"Po ""bezstarostných"" časech narazily na tento problém i postkomunistické státy a k jeho rychlému řešení tlačí jejich vlády i Světová banka."	lnd94103-079-p1s3
V životě pak přišly různé zlomy.	lnd94103-087-p1s90
Ze 145 kompaktních disků posuzovaných v uplynulém období recenzenty Harmonie získalo nejvyšší hodnocení (čtyři H) 53.	lnd94103-093-p1s11
"""Nechceme se řadit mezi dravečky vytvářející opozici za každou cenu"", konstatoval."	lnd94104-005-p1s5
"""Proto NATO musí úzce spolupracovat se Západoevropskou unií,"" dodal předseda."	lnd94104-029-p1s9
Ministr Vodička sdělil, že požádal dopisem místopředsedu vlády Jana Kalvodu a ministra spravedlnosti Jiřího Nováka o schůzku, na které se dohodnou o dalším postupu.	lnd94104-041-p1s13B
Konec podtitulku	lnd94104-070-p1s1C
"""Žil jsem v ústraní a ten mikrosvět mi vyhovoval,"" řekl Hons."	lnd94104-093-p1s15
"""Škoda, že na utkání nepřijela televize, viděla by perfektní regulérní utkání,"" říká trenér Benešova Hřebík, ""ze strany domácích bylo hodně tvrdé, ale my jsme proti tomu dokázali hrát fotbal."""	lnd94104-131-p1s3A
Stanovisko vyjádřené francouzským prezidentem v Izieu znamená bezvýhradné odsouzení vichystického režimu a přiznání jeho viny na antisemitském barbarství.	lnd94105-062-p1s9
Navrátilová navrhuje změny	lnd94105-084-p1s1A
"Podle tajné zprávy českého Státního úřadu pro jadernou bezpečnost, kterou se podařilo získat poslanci rakouských Zelených Rudolfu Anschoberovi, došlo v jaderné elektrárně Dukovany v jednom roce k 315 ""větším a menším"" poruchám."	lnd94105-127-p1s3
Ne přímo, zprostředkovaně, ale velmi silně.	ln94200-127-p25s1
Jak Petr Pomezný uvedl , provozní kapitál by Česká exportní banka ( ČEB ) měla získat za výhodných podmínek na mezinárodním kapitálovém trhu .	ln94200-24-p3s4
Foto Pavel Hula - LN	ln94200-67-p1s1B
O mém dalším cyklistickém osudu zatím rozhodnuto není, řekl v cíli Luboš Lom, který doufal, že se stane druhým českým cyklistou, jenž dokončil profesionální závod (v roce 1969 se to v Zolderu povedlo současnému trenérovi Jiřímu Dalerovi).	ln94202-102-p6s3
Slavia: Stejskal - Kozel - P. Novotný, Pěnička - Vávra, Krištofík, Berger, Bejbl, Šmejkal (64.	ln94202-123-p10s1
Praha -	ln94202-15-p2s1B
Slovenské národní povstání znamenalo ze strany Slováků jednoznačné přihlášení se k demokratickým tradicím, nebyl to puč, ale povstání proti nacismu a jeho slovenským přisluhovačům.	ln94202-25-p2s1B
Petr Fidelius ve svém článku v Literárních novinách napsal, že užívá slova usus v této původní podobě jednak proto, že se mu líbí, jednak proto, že je to slovo odborné.	ln94202-81-p6s4
Splnili jsme taktické pokyny, když se nám podařilo dokonale pokrýt běhavé hráče Viktorky.	ln94203-114-p6s2
Favority, jichž se výhoda týkala, byly vyprodány během tří týdnů.	ln94203-12-p3s2
Zřejmě dojde ke korekturám v sestavě.	ln94203-124-p3s7
Miroslav Kalousek nám řekl, že polemikou s tak absurdními a nepravdivými obviněními se nehodlá zabývat.	ln94203-130-p3s1
Rakouský ministr Hesoun prohlásil, že o uzavření této dohody s ČR usilovala jejich země již delší dobu, ale situace mu nedovolila zahájit jednání dříve.	ln94203-39-p2s4
Doufáme, že Irák bude opět hrát důležitou roli v této oblasti, řekl Husajn.	ln94203-61-p3s1
Výsledek prý bude odpovídat nejlepším tradicím ruského státu.	ln94203-79-p7s7
Pořadí v cíli bylo shodné s tím, jak jsme aktéry vyjmenovali.	ln94204-128-p3s2
Schlín, který se těmito nařčeními cítil potrefen, napsal odpověď, v níž stálo, že to není pravda a že lhář je Kudlín.	ln94204-137-p5s4
Připomínáte Slováky i v souvislosti s ranými obdobími, kdy se slovenský jazyk, slovenské etnikum, natož slovenský národ ještě ani nevytvořily - to z knihy jednoznačně vychází najevo.	ln94204-150-p5s2
Moje žena a dcera žijí naprosto normálním způsobem ve Venezuele se zbytkem rodiny, řekl terorista Carlos v rozhovoru, který byl včera zveřejněn ve francouzském deníku InfoMatin.	ln94204-34-p2s6
Na modernizaci pražského archivu poskytne radnice hlavního města zhruba jeden milion korun.	ln94204-46-p6s1
Přijel Krzysztof Skubiszewski	ln94204-54-p1s1
Naopak další pobyt ruských vojsk na německém území by nevyhnutelně vedl ke zhoršení vzájemných vztahů, řekl Jelcin v interview pro agenturu Interfax.	ln94204-84-p4s2
Jak sám říká, pohled do historie nesouvisí nijak s ideologickým podtextem citovaných děl, jeho přístup není hledáním nových postojů, ale postmoderním způsobem tvorby.	ln94205-107-p3s8
Praha je jako Jeruzalém.	ln94205-131-p2s5
T. Čakrtová oceňuje v prevenci kriminality jako kvalitativní změnu, že kurátor navazuje dnes již běžně kontakt s budoucími propuštěnci ještě ve věznici.	ln94205-135-p3s1
Současně je to den definitivního usmíření, řekl včera v Berlíně při slavnostním ukončení odchodu ruských vojsk z Německa ruský prezident Boris Jelcin.	ln94205-76-p2s2
Známá hongkongská poslankyně Emily Lau v této souvislosti řekla, že čínské rozhodnutí otřese důvěrou v Hongkong, a označila je za velmi špatný signál pro ostrov i pro svět.	ln94205-77-p2s2
Na dotaz, proč nezůstalo jen u zmrazení účtů, R. Salzmann uvedl, že ani toto opatření nebylo stoprocentně spolehlivé.	ln94206-149-p5s9
Jak tento týden uvedl list Financial Times, rakouský podíl činí více než čtvrtinu.	ln94206-150-p4s2
Vyznají se v řadě řemeslných prací a není pro ně žádný problém sednout na válec, na traktor nebo na cokoli a hned s tím bezproblémově jedou, říká P. Brůžek.	ln94206-16-p4s5
Většina stavebních firem si to již uvědomuje a hledá cesty, jak zvýšit odborné znalosti svých pracovníků.	ln94206-16-p7s3
Jak prozradil, z vydělaných peněz by chtěl pro děti postavit na Ukrajině domek.	ln94206-17-p9s2
Jak uvedl, cílem sdružení není snaha omezit přístup na trh ostatním konkurentům.	ln94206-22-p3s1
Místopředseda KDU-ČSL Jan Kasal včera prohlásil, že je možné očekávat iniciativu ODS ke koaličnímu jednání na toto téma.	ln94206-52-p4s2
Urazil se také Jásir Arafat (říká se, že speciálně u něho to není věc rozhodnutí), a prohlásil, že izraelský krok je vážnou překážkou na cestě k míru.	ln94206-84-p4s6
Toto východisko je pro nás přijatelné, uvedl Zlatohlávek včera pro LN.	ln94207-68-p3s3
V podstatě jsem studentům, kterých se to týkalo, řekl, že nevědí, čemu přejí a komu dávají hlas, když volají po odstranění demokracie.	ln94207-76-p12s1
Koupil si hned v prvním roce znovusjednocení zánovní Opel, s nímž jezdí každý pátek na velký nákup do supermarketu.	ln94207-79-p16s2
Dosažení porozumění mezi Izraelem a Organizací pro osvobození Palestiny bylo doprovázeno zveřejněním úmyslů různých mezinárodních organizací a zemí napomáhat rozvoji hospodářství na územích, na nichž bude na západním břehu Jordánu a v Gaze vykonávána omezená palestinská samospráva.	ln94208-14-p2s1
Za dosavadních podmínek na tom byli, jsou a budou prvovýrobci vždy biti, řekl Jiří Nožička.	ln94208-144-p7s8
Renault Espace lze vřele doporučit mladým rodinám s více dětmi, které počítají s každým kubickým centimetrem zavazadlového prostoru.	ln94208-8-p2s1D
Dnes večer se už můžeme oholit, řekl kapitán beranů Josef Štraub.	ln94208-98-p3s4
Nejde však o banální mocenské přetahování, ale o konflikt, v němž se zračí hlubší programové odlišnosti.	ln94209-46-p5s3
A v té samozřejmě i partner bude vyžadovat to i ono ministerstvo, včetně některého klíčového.	ln94209-48-p5s4
Sám kancléř ve svém programovém prohlášení řekl, že musíme být připraveni závody lépe vybavovat.	ln94209-48-p6s3
Má to ekonomické, ale i výchovné důvody, tvrdí Gaifmanová.	ln94209-64-p6s4
Jak LN sdělil zástupce pořádající agentury Media World Petr Bořuta, zbývá již jen instalovat zvukovou aparaturu a světelný park.	ln94209-73-p2s2
Bylo to opět varování, že se musíme na hru obrany zaměřit, vysvětlil Uhrin.	ln94209-89-p3s7
To, že ve svém domě mají divadlo, by mohli brát ne jako snížení příjmů, ale jako zvýšení prestiže. o	ln94210-110-p12s2
Na jedné noze se tenis hrát nedá, oznámil Reneberg (48.) poté, co vzdal v dalším americkém osmifinále krajanu Martinovi za stavu 6: 3, 0: 3.	ln94210-122-p5s1
Tento druh piva se v Mostě začal stáčet letos v dubnu, za měsíc srpen jeho produkce vzrostla již na 3.5 tisíce hektolitrů, řekl výrobní ředitel Vladislav Buchta.	ln94210-22-p2s2
Povolen je další penzijní fond	ln94210-45-p1s1
Myslím, že se to dá dokumentovat jejich další úspěšností.	ln94210-48-p4s7
Počítá daň jako celek, je mu jedno, od koho ji dostane, a konstatuje, že výsledek srovnání nemusí být až tak dramatický.	ln94210-5-p5s2
Klausova strana dělá nemístné kompromisy s postkomunistickou lobby, tvrdí Doležal	ln94210-58-p1s1
Zástupce Vatikánu pak upozornil, že Nakadžimovy formulace by mohly pomoci vyřešit značnou část námitek římskokatolické církve.	ln94210-78-p2s5
Rád bych zdůraznil, že diskuse kolem nových Pravidel není nic ani zbytečného, ani komického.	ln94210-90-p5s11
J. Vopalecký, ředitel pobočky KB Praha 1, u níž byly sporné objekty v zástavě, včera řekl, že KB se přidržela obchodního přístupu a chtěla vítězovi soutěže o SPN co nejrychleji a nejefektivněji vyjít vstříc.	ln94211-113-p3s5
Jeden ze společníků firmy Prima Karel Šnobr řekl, že firma využije veškeré výrobní kapacity Agrostavu.	ln94211-19-p2s2
Pořadatelé pro ně nakonec dali v areálu do prodeje rezervu vstupenek.	ln94211-22-p4s3
Zpravidla odhalí chybu jako klucima, ale již ne bez klukovi.	ln94211-3-p6s6
Graf ČTK	ln94211-59-p2s4
Občan byl v posledních dnech v souvislosti s vypovězením jednoho druhu účtu bombardován pojmy, jako jsou termínované a netermínované vklady, a zdůrazňováním zásadního rozdílu mezi nimi.	ln94211-9-p4s1
Sedmdesátileté působení českého centra PEN-klubu si včera připomněl jeho výbor v kavárně Gany's na pražské Národní třídě (bývalá kavárna Louvre).	ln95040-013-p1s1
"""Němci špatně stříleli, Wislander byl poloviční,"" skromně poznamenal po zápase Slabý, i když především jeho zásluhou si obávaný střelec soupeře udělal první čárku až těsně před přestávkou."	ln95040-021-p3s3
Boží Dar je zatím stále vzdálen byť jen představě horského molocha - turistického všepožírače.	ln95040-062-p10s15
Praha -	ln95040-117-p2s1A
Zároveň však upozorňuje, že u chřipky nic nelze předem odhadnout.	ln95040-124-p2s8
"""Utržit se už nedá ani na králičí kůži,"" dodává."	ln95041-002-p4s9
Evropská komise v Bruselu oficiálně potvrdila, že rakouští zemědělci obdrží v letech 1995 až 1999 vyrovnávací příspěvky v celkové výši 15.95 miliardy ATS.	ln95041-006-p2s1B
"""Jsme tady zatím sami,"" říká Miroslava Karolčíková a vrací se s hrncem brambor do pokojového bytu."	ln95041-017-p3s2
Ostrava -	ln95041-026-p2s1A
Před Babaletem jsme hráli novou vlnu.	ln95041-042-p4s2
Svědek tehdy na vzdálenost 20 až 40 metrů potvrdil, že Vodička je pachatel.	ln95041-074-p2s6
"""Nyní se zbavujeme zhoubného nádoru na těle Ruska,"" charakterizoval vojenskou akci na Kavkaze Boris Jelcin."	ln95041-105-p2s5
Stavební komplex býv. Strahovského kláštera jak rozlohou, tak umístěním nad Prahou je jedním z výrazných památníků církevní rozpínavosti na pražském území, říká Emanuel Poche ve své knize Prahou krok za krokem (vydání z roku 1985).	ln95042-023-p3s1
Jde o víc: musíme všechny tyto děje vsadit do širšího a hlubšího dějinného kontextu a pokusit se výzvu této doby formulovat na pozadí jejich zásadní reflexe..	ln95042-082-p2s6
Rus Radčenko oznámil, že na konci sezóny zřejmě opustí Racing Santander a v rámci španělské ligy se asi postěhuje do Sevilly.	ln95043-015-p3s1
"""Žádné překvapivé kotrmelce,"" řekl Konečný."	ln95043-035-p2s3
Dodal, že narozdíl od výkonné rady ODS považuje ústřední sněm ODA další šetření ve věci BIS za nezbytné.	ln95043-062-p2s5
Místopředseda ODA Vladimír Dlouhý uvedl, že církev by měla získat zpět jen ten majetek, s jehož pomocí by mohla plnit svou společenskou funkci.	ln95043-069-p2s5
"""Nevím, jestli je katedrála tím nejlepším případem, kterým církev prezentuje svou politiku,"" konstatoval."	ln95043-069-p2s6
Zdůraznil, že jeho záměry podpořila sobotní výkonná rada ODS.	ln95043-087-p7s2
"""Na základě toho, co máme, se nedalo rozhodnout,"" řekl Souček."	ln95044-011-p3s2
"""Je k nezaplacení,"" řekl na adresu hráče, který na podzim za 450 odehraných minut vstřelil deset branek."	ln95044-017-p3s15
Přišlo hodně Evropanů, všechno se díky nim zrychlilo, hráči jsou větší a obránci silnější.	ln95044-033-p3s18
2	ln95044-044-p24s4
Samotný volební úspěch je však k sebeuspokojení ještě neopravňuje.	ln95044-083-p6s3
Mnohem výhodnější je kapitál investovat například do akcií nebo peníze uložit na výhodný úrok do banky.	ln95044-093-p3s7
Hodnosti doktora dosáhl v r. 1948 na univerzitě v Chicagu.	ln95044-141-p3s3
Významným výsledkem vědeckého bádání je vznik teorie, která odvozuje chování různých politických a správních organizací ze zájmů jejich členů.	ln95044-141-p7s2
Zatímco někteří obchodníci s cennými papíry tvrdí, že zahraniční investoři již čekají s kufry peněz za hranicemi České republiky na nové akcie, jeden z vedoucích manažerů londýnské investiční společnosti John Govett & Co. a specialista na rozvíjející se trhy Petr Kysel konstatuje, že zahraniční investoři mají zájem pouze o jeden titul ze druhé vlny, a to SPT Telecom.	ln95045-005-p2s2
Vyšetřování ukázalo, že jeden z největších výtržníků při incidentu během utkání Irsko - Anglie minulou středu v Dublinu dostal vstupenku právě od Seamana.	ln95045-020-p2s2
"""Očekáváme, že padne letošní divácký rekord a na utkání přijde navzdory televiznímu přenosu přes třicet tisíc diváků,"" řekl brněnský manažer Karel Kroupa."	ln95045-035-p2s2
"""My, na rozdíl od IVVM, dáváme větší šance vyjádřit své sympatie váhavým,"" řekl."	ln95045-085-p3s3
Udivující je značný rozpor mezi cenami, jak je nastavil RM-Systém a jaké ohlásila burza.	ln95045-100-p5s1
"""To by mělo být dostatečné pro každý podnik, který neztratil rozum,"" dodal."	ln95046-002-p10s4
Praha -	ln95046-005-p2s1A
"""Neznám člověka, který by mohl jeho funkci převzít,"" řekl předseda fotbalového svazu."	ln95046-030-p6s4
Je spíše otázka, zda se k těmto krokům uchylují z důvodů adekvátních a zda se tím samy nepřipravují o zbraň pro chvíle naléhavější.	ln95046-076-p2s14
Odpovědnost za kvalitu je na producentech	ln95046-089-p1s1
Ředitelka Úřadu práce v Praze 7 Olga Nálevková přitom upozorňuje, že ztráty Drutěvy jsou ještě mnohem vyšší, než počítá vyhláška.	ln95046-095-p4s2
Potočná upozornila, že poplatek bude součástí zdravotního řádu, který schvaluje vláda a jehož dodržování bude povinností.	ln95046-109-p5s3
Praha -	ln95046-116-p2s1A
Dále uvedl, že k užívání veřejných komunikací k zvláštním účelům, jimiž soutěž Sazky bude, je nutný souhlas příslušných okresních nebo městských úřadů.	ln95047-012-p2s7
Střetnutí Sparta - Vítkovice bude existenční a prohra bude pravděpodobně stát postup.	ln95047-028-p2s2
"Starosta Jindřich Abrhám později v Severočeském deníku uvedl, že petice byla ultimátem od rodičů: ""Buď chlapci z Německa odejdou, nebo nebudeme posílat své děti do školy."""	ln95047-061-p11s6
"""Protože jsme Němci,"" řekl Theobald Fuchs."	ln95047-061-p14s7
"Protivníci nového hnutí ""využívají přítomnosti Talibanu k odmítnutí mírového procesu,"" řekl tento týden při odletu z Kábulu zklamaný zmocněnec OSN pro Afghánistán Mahmúd Mastírí."	ln95047-067-p2s3
Řekl, že obžalované v roce 1992 zapůjčil svůj kufříkový psací stroj, který loni po dovolené našel doma poškozený tak, že se s ním nedalo psát.	ln95047-088-p2s2
Předseda výboru František Kozel (ODS) označil výnos za legrační částku vzhledem k její životní důležitosti pro další osud fondu.	ln95047-094-p3s10
Výbor si představuje, že by pojišťovny neměly podnikat ani nabízet nadstandard nad rámec zdravotní péče určené zdravotním řádem.	ln95047-105-p5s6
Podobně jako v původním jazyce je výraz klika spojen i v češtině s hanlivým přízvukem;	ln95048-052-p8s4
"Při příležitosti Dne Jeruzaléma generální tajemník Hizballáhu Hasan Nasralláh na shromáždění tisíců stoupenců v Bejrútu prohlásil, že ""islámské hnutí odporu má stále právo útočit na židovská osídlení v severní Palestině, jsou-li naši civilisté bombardováni a zabíjeni a jsou-li ničeny jejich domy""."	ln95048-107-p5s2
"Prohlásil, že ""incidenty, jako je ruský útok v Čečensku, by neměly ovlivňovat 'velký obraz' podpory reforem v Moskvě""."	ln95048-115-p6s2
"""Vláda zákon posunula do sociálně těžko stravitelné polohy,"" uvedl."	ln95048-122-p2s5
Pavel Kulička (LSNS), poslanec: Dosáhl jsem nadporučíka v záloze.	ln95048-124-p3s19
Dallas remizoval 3:3 s Vancouverem zásluhou branky Gagnera ve 46. minutě.	ln95049-033-p3s3
"""Je to nejodvážnější člověk, jakého jsem v životě poznal,"" řekl."	ln95049-047-p3s4
"""Dojde tak k souboji mezi historicky poučenou a moderní interpretací,"" komentoval dramaturgii večera propagátor staré hudby Pavel Kalina."	ln95049-059-p7s4
Napil se kávy, zatvářil se znechuceně a ukázal špinavým oknem kavárny hotelu Kaliningrad na velkou kaluž z tajícího sněhu na nedaleké křižovatce dvou rušných ulic.	ln95049-068-p2s1
"""V těch místech stával dům Immanuela Kanta,"" řekl."	ln95049-068-p2s2
"UNPROFOR a krajinští Srbové ""sní stejný sen, a to sen o vzniku velkého Srbska"", říká sedmačtyřicetiletá Lidija Matičová, povoláním chemička."	ln95049-070-p11s1
Na odhalení s celníky spolupracovali pracovníci protidrogové brigády Policie ČR.	ln95049-119-p3s3
"""Evropský měnový systém, směnný mechanismus evropských měn, by explodoval,"" odpověděl včera francouzský ministr financí Michel Sapin na otázku, jaké by byly následky případného odmítnutí maastrichtských dohod o Evropské unii v zářijovém referendu."	mf920901-014-p2s1
V první jde o zrušení nebo upravení centrální regulace cen u řady komodit.	mf920901-015-p2s3
Předseda HZDS Vladimír Mečiar v pátek ve Slovenském rozhlase mimo jiné řekl, že skupina politiků, kteří se shromažďují kolem Jana Rumla, a její působení, zejména ve Federálním shromáždění a na ministerstvu vnitra ČR, je znepokojující.	mf920901-021-p3s1
Uvedl to včera ústřední ředitel ČOI Petr Pokorný.	mf920902-018-p2s2
Na 120 až 150 hokejistů z Evropy bude hrát v této sezóně v kanadskoamerické NHL, řekl Alan Eagleson, bývalý ředitel hráčské asociace této ligy včera na tiskové konferenci v Praze.	mf920902-074-p2s1
"""To by ale byl krok zpět,"" řekl Eagleson."	mf920902-074-p3s4
Polovinu z plánovaného počtu vozidel měli ostravští dopravci již v srpnu nasadit na málo frekventované linky.	mf920922-006-p1s2
"""Musím konstatovat, že vedení Škodovky nepředložilo to, co jsme očekávali,"" řekl po svém včerejším pětihodinovém jednání se zástupci koncernu Škoda Plzeň, a.s., OS Kovo, FMD a FNM český ministr obchodu a průmyslu Vladimír Dlouhý."	mf920922-021-p2s2
Ministr Dlouhý poznamenal, že pokud nebudou uvedené požadavky splněny, lze očekávat jisté personální změny ve vedení plzeňského závodu.	mf920922-021-p6s1
"Půda statku by měla být využívána mj. pro vytváření ""zelených plic Prahy"" zakládáním lesů, výstavbu shopping center a bytovou výstavbu."	mf920922-036-p2s4
"Vítkovice proti vojákům naopak nabraly sebevědomí, které dnes proti Kladnu budou moc potřebovat: ""Zbavili jsme se psychické zátěže z Košic, kde jsme prohráli kvalitní utkání,"" tvrdí vítkovický asistent Neuwirth."	mf920922-054-p3s6
Kořínek oslabil mužstvo zbytečnými vyloučeními.	mf920922-054-p4s3
Předseda Halík dodal, že nepochybuje o platnosti smlouvy mezi NHL a naší federací, kterou druhá strana zpochybňuje.	mf920922-056-p2s18B
Jak sdělil, celá měnová krize, která v poslední době v ES nastala, je signálem toho, že násilný pokus o vytvoření jedné měny nemůže mít v nejbližší budoucnosti sebemenší šanci na úspěch, protože ekonomická situace v jednotlivých zemích ES je značně rozdílná.	mf920922-079-p2s3
ZLODĚJI AUT.	mf920922-087-p1s5B
"""Je ovšem pravda, že se jeden služební pes poté, co byl jeho psovod omráčen lahví od šampaňského, zbavil náhubku a vzápětí pokousal dva policisty a jednoho maďarského fanouška,"" dodal L. Polka."	mf920922-097-p2s9
Uvedl, že při útocích proti zbylým japonským vojákům objevil v jednom japonském táboře nedaleko základny Mount Kitanland zbytky pečeného lidského masa.	mf920922-130-p2s3
Dlouho očekávaný prodej osobních vozů značky Tavrija zahajuje zítra firma Tusakko v Mladé Boleslavi.	mf920923-083-p2s2
Majitel stavební firmy SSASO Pavel Sochor je jiného názoru:	mf920924-050-p2s16B
Když také on tvrdil, že žádné nemá, bili ho pěstmi po celém těle.	mf920924-076-p4s9
A podle dosavadních zpráv z tréninkových táborů si chlapci ze srdce Evropy nevedou špatně.	mf920924-091-p3s6
"""Josef Beránek se zatím rýsuje jako nejlepší hráč v táboře,"" tvrdí hlavní kouč Edmonton Oilers Ted Green."	mf920924-091-p3s7
Každý investor, který bude chtít získat stavební povolení pro výstavbu v centru Prahy, bude muset napříště poskytnout městu peněžitý dar za každé parkovací stání, které jeho stavba podle příslušné normy vyvolá.	mf920925-032-p2s3
Následek: při nominaci bude mít přednost třebas sedmý závodník ze Slovenska před lepším pátým z Čech.	mf920925-050-p4s1
Telefonicky jsem se omluvil.	mf920925-061-p1s4
Potvrdil, že britský parlament se nevrátí k projednání maastrichtské smlouvy, dokud Dánsko, které ji v červnovém referendu odmítlo, nevyjasní svůj další postup.	mf920925-110-p5s1
"""Nebojím se nikoho, ani politiků,"" říká fotbalový král Pelé (str. 9)"	mf920925-113-p1s1
"Při sporu o odvolání ""nedošlo ke kompromisu"", uvedl Bohumil Vrabec."	mf930709-013-p2s5
"""Musím se starat i o celou budovu ve Velkých Heralticích přesto, že tam jsou kromě ordinace i pošta, telefonní ústředna a byt,"" říká Gejza Scziranka."	mf930709-061-p2s15
V září začnou souběžně dva šachové zápasy, jejichž vítězové si budou přisuzovat korunu šachového krále.	mf930709-077-p2s1B
"""Lukáš škrtl pádlem o kámen a ztratil rovnováhu,"" řekl trenér Miroslav Nedvěd."	mf930709-087-p2s5
I v kanadských městech jsou místa, kam se po setmění člověk obdařený normální dávkou pudu sebezáchovy nevypraví, a je dobře si je zjistit dotazem v informačních kancelářích či u majitele ubytovacího zařízení.	mf930709-140-p11s1
USA podle agentury Reuter otevřeně podporují stálé členství Německa a Japonska v Radě bezpečnosti, zatímco Britové a Francouzi projevují méně nadšení.	mf930709-148-p1s7
"""Na řadě těch, kteří udělali ústupky, se to později projevilo v celém díle,"" řekl autor na vernisáži."	mf930713-055-p3s6
"""Do této chvíle nevím víc, než jsem se dozvěděl ze sdělovacích prostředků a soukromými konzultacemi,"" uvedl ministr Dlouhý, který je také předsedou Rady celní unie existující mezi ČR a SR."	mf930713-069-p3s1
Nad rozšířenou fámou, že v srpnu mají být tropická vedra nad 40 stupňů Celsia, meteorolog pouze kroutí hlavou.	mf930713-092-p2s9
Převzít by měla většinu povinností bývalé sovětské Vněšekonombank, jejíž činnost byla omezena na obsluhu ruského zahraničního a domácího dluhu.	mf930713-123-p2s3
Jeho prodejna stojí několik desítek metrů od stolku Petra Kose.	mf930713-161-p2s3
"Vzpomínám tu na akademika Kurze, který v publikacích svých žáků tuto ohavnou vazbu nekompromisně stíhal a říkával: ""proč mám říkat, že se Jeníček počůral, když bude lépe znít, že 'došlo k počůrání Jeníčka'."""	vesm9211-003-p2s1A
Kritici říkají, že je dokonce větším nebezpečím vyhlídka, že pokud nebudou všichni občané vědecky gramotní, nebudou schopni se inteligentně účastnit na technické společnosti a nebudou schopni kompetentně vykonávat práci.	vesm9211-007-p5s4
Oznámilo, že v tomto roce omezilo zamořování ovzduší ve všech složkách.	vesm9211-018-p2s2
A Bůh jim požehnal a řekl jim: Ploďte a množte se a naplňte zemi.	vesm9211-023-p48s4
Carcinogenesis, 10 , 2161-4.	vesm9212-022-p3s2
Na tom nic nemění ten fakt, že to byly původně pojmy psychiatrické.	vesm9212-032-p8s16
nikoliv tedy způsobem matematiky, nýbrž způsobem přirozeného myšlení.	vesm9212-041-p12s4
rektor Trnavské univerzity	vesm9212-042-p3s1
Tvoří jej tisícovka pevných i pohyblivých antén rozmístěných ve tvaru písmene T.	vesm9301-025-p44s3
